id,breed,color,angle,position,properties,parent
13,lezard,#000000,115,0:796.2680916469;1:421.90947698532,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,226,0:516.80035412602;1:67.014445950112,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,359,0:774.09575410357;1:438.08934750453,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,260,0:756.33212873776;1:785.94922543599,hungry:false;hunger:0,world
10,lezard,#000000,327,0:178.23177696128;1:340.96478784671,hungry:true;hunger:0,world
132,papillon,#ff0000,113,0:671.20369894959;1:718.34042647408,life:148,121
131,papillon,#ff0000,24,0:694.67377829544;1:412.6513062229,life:341,78
129,papillon,#ff0000,177,0:123.71917336052;1:52.98660948311,life:477,86
128,papillon,#00ff00,123,0:422.55639265867;1:377.19162999119,life:476,79
123,papillon,#00ff00,131,0:132.83672843839;1:488.45324229858,life:718,110
124,papillon,#00ff00,246,0:631.41223171791;1:163.59801596223,life:666,100
119,papillon,#ff0000,109,0:623.93066323497;1:543.96514647741,life:877,100
118,papillon,#ff0000,27,0:404.44112774157;1:550.20236512895,life:1102,116
111,papillon,#ff0000,141,0:178.79103798519;1:711.51656177065,life:1680,110
94,papillon,#ff0000,257,0:450.0153684739;1:705.37059469756,life:1448,90
85,papillon,#ff0000,237,0:623.2081086265;1:556.21443255923,life:2722,4
125,papillon,#ff0000,279,0:379.74260913398;1:304.496336057,life:633,115
84,papillon,#00ff00,11,0:469.33228743286;1:637.36067268347,life:4399,6
126,papillon,#ff0000,294,0:418.63966286866;1:436.78688217195,life:615,108
99,papillon,#00ff00,334,0:686.67743282519;1:93.644318955583,life:348,93
78,papillon,#ff0000,30,0:10.81435775299;1:627.36785945008,life:359,25
90,papillon,#00ff00,148,0:789.11653039731;1:644.72686284364,life:3757,73
73,papillon,#ff0000,354,0:379.46136660326;1:565.50854855644,life:3913,57
72,papillon,#ff0000,159,0:447.11129909043;1:685.40037269354,life:1437,20
86,papillon,#00ff00,159,0:637.25878576152;1:355.32446817755,life:463,46
71,papillon,#00ff00,10,0:163.55867935979;1:184.39814580336,life:5260,57
122,papillon,#ff0000,101,0:282.58472388533;1:654.31352299106,life:712,100
65,papillon,#ff0000,9,0:42.508605165054;1:632.01671176123,life:5775,61
109,papillon,#ff0000,347,0:7.2487159347665;1:377.07401991592,life:1883,97
57,papillon,#00ff00,272,0:490.03388853163;1:625.49658974702,life:5180,27
98,papillon,#ff0000,264,0:774.55409265295;1:686.49835967965,life:612,54
1,papillon,#00ff00,155,0:266.44086494287;1:615.8170524922,life:7879,world
46,papillon,#00ff00,298,0:564.62746575083;1:577.21669757217,life:884,17
130,papillon,#ff0000,282,0:14.932662558175;1:543.95162465522,life:345,99
121,papillon,#00ff00,336,0:254.90873137769;1:383.62168558467,life:147,46
0,papillon,#00ff00,294,0:242.55097496192;1:617.10994107409,life:3841,world
25,papillon,#00ff00,219,0:748.77798143194;1:782.18009200572,life:-10,1
26,papillon,#00ff00,49,0:409.87750547745;1:367.39394990714,life:3494,22
24,papillon,#00ff00,281,0:243.12736699753;1:778.99938318376,life:3650,20
