id,breed,color,angle,position,properties,parent
13,lezard,#000000,90,0:418.99297497676;1:193.68586989455,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,270,0:462.40471733939;1:224.7285924186,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,343,0:45.512391236214;1:36.768429951109,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,36,0:199.80391465353;1:339.46102659598,hungry:true;life:-10;hunger:0,world
10,lezard,#000000,263,0:211.99440316188;1:153.93559196168,hungry:true;life:-10;hunger:0,world
269,papillon,#00ff00,8,0:250.65416738152;1:640.61856360797,life:889,199
267,papillon,#00ff00,101,0:702.06206249962;1:585.2213240262,life:1047,172
265,papillon,#ff0000,76,0:745.96348161737;1:606.31715015922,life:1471,0
261,papillon,#00ff00,11,0:284.58029628516;1:599.46493216622,life:2112,255
263,papillon,#00ff00,244,0:328.6367142323;1:256.12416790912,life:1987,71
260,papillon,#00ff00,191,0:215.50684860987;1:705.75408891808,life:901,0
259,papillon,#ff0000,225,0:358.39825869886;1:787.77893969362,life:2478,226
258,papillon,#00ff00,46,0:797.53072780811;1:455.44134500425,life:2791,242
255,papillon,#00ff00,144,0:221.91963783445;1:383.42417139777,life:1060,246
251,papillon,#00ff00,336,0:384.88483280954;1:701.46681039208,life:4634,121
250,papillon,#00ff00,208,0:650.59164897421;1:149.97966814536,life:4686,241
245,papillon,#00ff00,169,0:641.61698483036;1:25.651394438527,life:5616,99
237,papillon,#00ff00,15,0:663.85800253849;1:646.77843330056,life:5067,0
239,papillon,#00ff00,39,0:6.9816352793798;1:340.87247753506,life:2784,86
227,papillon,#00ff00,257,0:514.81030389891;1:413.44756953077,life:8238,199
226,papillon,#00ff00,145,0:780.62795525223;1:266.57230599228,life:2472,221
224,papillon,#00ff00,68,0:433.24636871991;1:443.2752186095,life:1487,216
221,papillon,#00ff00,172,0:178.02735898839;1:748.9687467975,life:7000,99
256,papillon,#00ff00,219,0:32.743862412622;1:285.92462711622,life:3635,213
257,papillon,#00ff00,198,0:383.5868935006;1:525.66923894991,life:2778,239
199,papillon,#00ff00,305,0:230.82135898647;1:502.46890620542,life:900,46
207,papillon,#00ff00,161,0:251.69562959349;1:547.33830184647,life:9123,163
191,papillon,#00ff00,123,0:373.17863168578;1:682.16529516623,life:11739,178
173,papillon,#00ff00,301,0:757.60963019518;1:483.23745000251,life:13452,143
268,papillon,#00ff00,3,0:6.330518478843;1:152.98312951956,life:902,260
247,papillon,#00ff00,182,0:703.39309767721;1:782.06594223332,life:5061,237
176,papillon,#00ff00,28,0:286.30465555973;1:633.97697677926,life:5624,173
266,papillon,#00ff00,114,0:670.35715477373;1:776.34946015566,life:1035,255
220,papillon,#00ff00,116,0:610.14759531814;1:100.4298660135,life:9118,177
234,papillon,#00ff00,324,0:767.35133491976;1:666.89671128427,life:6729,172
99,papillon,#00ff00,100,0:749.95437934829;1:197.38230078154,life:5686,93
172,papillon,#00ff00,283,0:101.48773909503;1:206.14990341023,life:1067,147
213,papillon,#00ff00,204,0:214.18559093179;1:160.35492247198,life:3625,121
71,papillon,#00ff00,300,0:161.75807182496;1:201.15583324966,life:1972,57
246,papillon,#00ff00,31,0:152.89743337232;1:80.953286299876,life:3662,236
241,papillon,#00ff00,217,0:353.14319204991;1:266.5895456981,life:4677,194
1,papillon,#00ff00,323,0:584.23251804084;1:720.53346686539,life:14752,world
262,papillon,#00ff00,177,0:66.578332776356;1:768.39417675205,life:1963,208
216,papillon,#ff0000,211,0:505.19878381265;1:120.94039993679,life:7336,198
121,papillon,#00ff00,86,0:482.92385513017;1:94.113882006111,life:3785,46
0,papillon,#00ff00,199,0:48.505663568017;1:467.6957299145,life:1476,world
