id,breed,color,angle,position,properties,parent
13,lezard,#000000,229,0:157.55047917774;1:436.6875499886,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,23,0:624.97335912457;1:252.95259276141,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,184,0:657.09128159465;1:154.26673072496,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,253,0:624.49665320735;1:457.66022891778,hungry:true;life:-10;hunger:0,world
10,lezard,#000000,237,0:244.77895681405;1:770.3096877832,hungry:true;life:-10;hunger:0,world
251,papillon,#00ff00,241,0:614.06337461415;1:757.11007953044,life:266,121
250,papillon,#00ff00,271,0:592.44261443477;1:40.820236494197,life:288,241
252,papillon,#ff0000,92,0:784.07059007495;1:361.61915622631,life:278,243
249,papillon,#00ff00,341,0:474.09452292139;1:780.53626746604,life:623,244
245,papillon,#00ff00,349,0:544.63797194279;1:113.02291044159,life:1206,99
237,papillon,#00ff00,258,0:565.15631248019;1:678.4618798516,life:650,0
243,papillon,#00ff00,75,0:104.22284891269;1:65.891587375723,life:279,176
239,papillon,#00ff00,222,0:14.076312906518;1:399.25373233837,life:1451,86
233,papillon,#00ff00,313,0:368.9528545413;1:162.6963983903,life:2085,71
232,papillon,#00ff00,289,0:732.42684438061;1:325.59208539063,life:2642,221
228,papillon,#00ff00,68,0:410.28284110412;1:154.33059843104,life:2998,222
227,papillon,#00ff00,69,0:631.52447956316;1:341.34768227203,life:3801,199
226,papillon,#00ff00,348,0:408.32355458042;1:222.52235746694,life:3782,221
224,papillon,#00ff00,140,0:25.574197912679;1:671.60409239126,life:4357,216
244,papillon,#ff0000,87,0:123.03809140838;1:96.281772822428,life:282,0
221,papillon,#00ff00,230,0:331.27486714554;1:509.57675572115,life:2627,99
253,papillon,#ff0000,3,0:741.36401151819;1:579.23953680843,life:266,244
208,papillon,#ff0000,267,0:345.21114328347;1:285.45917483211,life:1454,177
203,papillon,#ff0000,340,0:333.29014862335;1:157.2434360801,life:1219,196
217,papillon,#00ff00,114,0:40.683638961383;1:41.546114779883,life:4728,213
199,papillon,#00ff00,112,0:383.72343586673;1:460.46060648479,life:3805,46
207,papillon,#00ff00,285,0:560.59816386403;1:488.6029031401,life:4693,163
194,papillon,#00ff00,175,0:397.14308593544;1:483.72521265752,life:1439,161
248,papillon,#ff0000,309,0:538.55082456782;1:96.44366001656,life:633,243
191,papillon,#00ff00,0,0:272.63376719107;1:510.15752134595,life:7322,178
173,papillon,#00ff00,202,0:652.82372533559;1:353.90266564705,life:9065,143
247,papillon,#00ff00,95,0:406.68192004166;1:478.32194093231,life:628,237
176,papillon,#00ff00,34,0:768.96660280466;1:140.83763055936,life:1235,173
220,papillon,#00ff00,28,0:510.13401978781;1:141.95029900219,life:4713,177
177,papillon,#00ff00,323,0:665.65357578124;1:229.36493090301,life:4607,86
234,papillon,#00ff00,120,0:712.93062255146;1:497.1949612589,life:2340,172
99,papillon,#00ff00,176,0:774.06289802188;1:99.979334698806,life:1263,93
242,papillon,#00ff00,51,0:12.930556138491;1:430.82440366883,life:1209,203
172,papillon,#00ff00,246,0:50.253514963377;1:275.24421458795,life:2319,147
213,papillon,#00ff00,326,0:320.99311800073;1:272.94847796918,life:1405,121
86,papillon,#00ff00,180,0:505.34654062466;1:471.18036222244,life:1433,46
71,papillon,#00ff00,265,0:150.65619997961;1:127.41882621029,life:1967,57
246,papillon,#00ff00,179,0:76.538842422339;1:470.73141911812,life:638,236
241,papillon,#00ff00,320,0:450.13214518509;1:111.09357999049,life:289,194
1,papillon,#00ff00,127,0:619.1625786679;1:786.05942986636,life:10361,world
229,papillon,#ff0000,38,0:220.54288451634;1:539.46069025645,life:2926,209
216,papillon,#ff0000,10,0:684.53610876088;1:56.495778630362,life:2918,198
121,papillon,#00ff00,125,0:388.59829731887;1:219.72897117017,life:287,46
0,papillon,#00ff00,67,0:5.1798746668554;1:243.76810088975,life:1239,world
